	Adult_AdrenalGland	Adult_Colon	Adult_Esophagus	Adult_GallBladder	Adult_Heart	Adult_Kidney	Adult_Liver	Adult_Lung	Adult_Ovary	Adult_Pancreas	Adult_Prostate	Adult_Rectum	Adult_Retina	Adult_SpinalCord	Adult_UrinaryBladder	Fetal_Brain	Fetal_Gut	Fetal_Heart	Fetal_Liver	Fetal_Placenta	Fetal_Testis	Immune_CD4	Immune_Monocyte	Immune_NK
GO:0034754	15.7887919038157	0	0	0	0	4.44816643717843	20.674475672777	0	0	0	0	0	0	0	0	0	0	0	6.39493165255347	3.21388828335716	0	0	0	0
GO:0042446	19.7871724777761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.90898164036976	0	0	0	0
GO:0008202	7.20750993266819	0	0	0	0	3.03239625792558	45.2908960308472	0	0	0	0	0	0	0	0	0	3.81217767045843	0	5.64929428937213	0	6.63012354238386	0	0	0
GO:0008212	12.5017868896792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0008211	15.7465320945258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0034650	7.74477282996178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0006694	9.07931210956978	0	0	0	0	0	16.8172609038438	0	0	0	0	0	0	0	0	0	0	0	0	0	14.4908178203959	0	0	0
GO:0006704	17.2575299341467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0034651	5.05302101059269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0006705	12.5017868896792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0008207	13.4934270587952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0006700	13.9153308932465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
